P_ID,TIMESTAMP,NDVI,EVI,IRECI
40274709,2018-07-05,0.8667787,0.5997057,1.136118
40274709,2018-07-10,0.8341992,0.7057407,1.1991918
40274709,2018-07-20,0.800545,0.59691185,1.0422611
40274709,2018-07-25,0.8420875,0.48493484,0.8428653
40274709,2018-07-30,0.84725195,0.4997053,0.8771126
40274709,2018-08-04,0.26267844,0.2912262,0.26467815
40274709,2018-08-09,0.84519744,0.5397197,0.84710956
40274709,2018-08-19,0.78457874,0.41397533,0.7100483
40274709,2018-08-29,0.76116765,0.38845253,0.57486457
40274709,2018-09-28,0.88584685,0.44047067,0.49461395
40274709,2018-10-03,0.6916201,0.30012122,0.3228419
40274709,2018-10-13,0.5775054,0.18572621,0.15436114
40274709,2018-10-23,0.5152074,0.13508941,0.11882047
40274709,2018-11-17,0.49140894,0.22270177,0.11399406
40274709,2019-04-01,0.45408806,0.16275924,0.08976533
40274709,2019-04-16,0.4506579,0.19563976,0.10229418
40274709,2019-04-21,0.5608493,0.23016109,0.14876057
40274709,2019-05-01,0.7643486,0.5090813,0.4562593
40274709,2019-06-10,0.71626145,0.617595,0.8110583
40274709,2019-06-20,0.835113,0.6698136,1.170769
40274709,2019-06-25,0.8491818,0.7487132,1.2793093
40274709,2019-06-30,0.8935158,0.5886964,1.2289656
40274709,2019-07-05,0.8520548,0.6809315,1.1859409
40274709,2019-07-10,0.8127234,0.6912134,1.0555727
40274709,2019-07-20,0.8242731,0.5521213,0.9127724
40274709,2019-07-25,0.83682394,0.5867268,0.97790205
40274709,2019-07-30,0.8124363,0.67519486,0.98814625
40274709,2019-08-04,0.825382,0.56429607,0.7810691
40274709,2019-08-09,0.8694158,0.6034826,0.8411531
40274709,2019-08-14,0.8670479,0.5332806,0.89988774
40274709,2019-08-19,0.8041147,0.5753203,0.76224595
40274709,2019-09-13,0.8664032,0.46648222,0.6107837
40274709,2019-10-08,0.7574835,0.31468678,0.29998454
40274709,2019-10-23,0.3667309,0.12924986,0.09378768
40274709,2019-12-07,0.4545455,0.13670689,0.07906644
40274709,2020-01-06,0.4968254,0.14064255,0.06899339
40274709,2020-01-16,0.46666667,0.21503375,0.08737974
40274709,2020-02-05,0.53620535,0.13342762,0.05927736
40274709,2020-03-16,0.49773344,0.12381038,0.073939785
40274709,2020-04-05,0.50032026,0.1677982,0.10258307
40274709,2020-04-10,0.4675,0.1721123,0.10162363
40274709,2020-04-15,0.5837957,0.22213775,0.13489214
40274709,2020-04-25,0.74185246,0.35930878,0.3184417
40274709,2020-06-29,0.83429164,0.6765005,1.0869926
40274709,2020-07-04,0.9064748,0.6201492,1.11443
40274709,2020-07-09,0.89058685,0.595569,1.1258522
40274709,2020-07-14,0.86182797,0.613941,1.087226
40274709,2020-07-19,0.8646081,0.62567145,1.0500958
